lat,lon,ele
44.868171,10.059965,72.3
44.868171,10.059966,72.3
44.868166,10.059983,72.3
44.868161,10.06,72.3
44.868156,10.060016,72.3
44.868148,10.060051,72.3
44.86815,10.060065,72.3
44.868148,10.060075,72.3
44.868143,10.060086,72.3
44.868143,10.060086,72.3
44.868139,10.06009,72.3
44.868136,10.060097,72.3
44.868082,10.060267,72.2
44.868085,10.060265,72.2
44.868084,10.060263,72.2
44.868081,10.060271,72.2
44.868081,10.060268,72.2
44.86809,10.060261,72.2
44.86809,10.060262,72.2
44.868092,10.060255,72.2
44.868091,10.060253,72.2
44.868084,10.060256,72.2
44.86808,10.060266,72.2
44.868071,10.060278,72.2
44.868071,10.060264,72.2
44.86807,10.06026,72.2
44.868072,10.060261,72.2
44.868066,10.060259,72.2
44.868074,10.060265,72.2
44.86808,10.060263,72.2
44.868089,10.060282,72.2
44.868109,10.060244,72.2
44.868133,10.060185,72.2
44.868142,10.060147,72.2
44.868141,10.060091,72.2
44.868146,10.060051,72.3
44.868152,10.059992,72.3
44.868154,10.059942,72.4
44.868153,10.059891,72.4
44.868142,10.059872,72.4
44.868126,10.059821,72.5
44.868121,10.059773,72.5
44.868116,10.059732,72.5
44.86811,10.059684,72.6
44.868112,10.059669,72.6
44.868091,10.059611,72.6
44.868062,10.059591,72.7
44.868049,10.059601,72.8
44.868011,10.059618,72.9
44.867997,10.059626,73.0
44.867962,10.059645,73.1
44.867939,10.059623,73.2
44.867918,10.059612,73.2
44.867904,10.059649,73.4
44.867892,10.059653,73.4
44.867874,10.059659,73.5
44.867865,10.059653,73.6
44.867855,10.059657,73.6
44.867844,10.05966,73.7
44.867834,10.059663,73.8
44.867823,10.059665,73.9
44.867794,10.059668,74.0
44.867763,10.059682,74.1
44.867758,10.059684,74.3
44.867712,10.059675,74.4
44.867692,10.059704,74.6
44.867633,10.059728,74.8
44.867576,10.059744,75.1
44.867533,10.059782,75.2
44.867498,10.059782,75.5
44.867457,10.059755,75.8
44.867394,10.059783,75.8
44.867289,10.059759,75.8
44.867213,10.059736,75.8
44.867154,10.059723,75.8
44.867095,10.059685,75.8
44.86705,10.059652,75.7
44.867012,10.059629,75.7
44.866969,10.059608,75.7
44.866935,10.059576,75.7
44.866882,10.05955,75.7
44.866846,10.059514,75.7
44.86682,10.059441,75.7
44.86679,10.059414,75.8
44.866747,10.059401,75.8
44.866728,10.059399,75.9
44.866692,10.059409,76.0
44.866676,10.059407,76.0
44.866644,10.059393,76.1
44.866614,10.059385,76.2
44.866582,10.059381,76.3
44.866538,10.059344,76.5
44.866525,10.059331,76.6
44.866513,10.059318,76.6
44.866483,10.059291,76.7
44.866453,10.059278,76.8
44.866441,10.059278,76.9
44.866412,10.059307,76.9
44.866372,10.059329,76.9
44.866354,10.059343,76.9
44.866328,10.059379,77.4
44.866304,10.059411,77.8
44.866295,10.059421,77.9
44.866285,10.059428,78.1
44.866266,10.059429,78.3
44.866232,10.059454,78.7
44.866198,10.059486,79.2
44.86617,10.059535,79.7
44.86615,10.059589,80.1
44.866136,10.059623,80.5
44.866127,10.059673,80.9
